eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,N,best_nrounds,test_auc_mean,test_auc_std,val_auc,time_secs
0.02,6,10,0.7,0.7,1500,107,1144,0.964117,0.000286,0.965239117,726
0.02,6,10,0.7,0.8,1500,108,1132,0.964194,0.000388,0.965222288,792
0.02,6,10,0.7,0.9,1500,109,1132,0.964095,0.00036,0.965230029,864
0.02,6,10,0.7,1,1500,110,1152,0.96421,0.000402,0.965251104,934
0.02,6,10,0.8,0.6,1500,111,1210,0.964222,0.000444,0.96541581,661
0.02,6,10,0.8,0.7,1500,112,1214,0.964185,0.00041,0.965332714,731
0.02,6,10,0.8,0.8,1500,113,1268,0.964226,0.000216,0.965407783,810
0.02,6,10,0.8,0.9,1500,114,1244,0.964269,0.000248,0.965411324,881
0.02,6,10,0.8,1,1500,115,1212,0.964225,0.000425,0.965336657,937
0.02,6,10,0.9,0.6,1500,116,1279,0.964425,0.00035,0.965536865,685
0.02,6,10,0.9,0.7,1500,117,1373,0.964372,0.000304,0.965391826,746
0.02,6,10,0.9,0.8,1500,118,1268,0.964391,0.000305,0.965439565,805
0.02,6,10,0.9,0.9,1500,119,1216,0.964309,0.000308,0.965438118,866
0.02,6,10,0.9,1,1500,120,1235,0.964305,0.000169,0.965389365,935
0.02,6,10,1,0.6,1500,121,1375,0.964275,0.000265,0.965283999,660
0.02,6,10,1,0.7,1500,122,1453,0.964152,0.000312,0.965382961,750
0.02,6,10,1,0.8,1500,123,1498,0.964062,0.000251,0.965333714,819
0.02,6,10,1,0.9,1500,124,1220,0.963958,0.000174,0.965184614,853
0.02,6,10,1,1,1500,125,1171,0.963921,0.000166,0.965190108,896
0.02,6,15,0.6,0.6,1500,126,1349,0.963923,0.000235,0.965088292,714
0.02,6,15,0.6,0.7,1500,127,1168,0.963849,0.000138,0.965052258,765
0.02,6,15,0.6,0.8,1500,128,1138,0.963834,0.000148,0.965058742,862
0.02,6,15,0.6,0.9,1500,129,1135,0.963877,0.000186,0.965036294,923
0.02,6,15,0.6,1,1500,130,1091,0.963897,0.000257,0.96509732,965
0.02,6,15,0.7,0.6,1500,131,1144,0.964121,0.000226,0.965227867,713
0.02,6,15,0.7,0.7,1500,132,1379,0.964034,0.000288,0.965190471,802
0.02,6,15,0.7,0.8,1500,133,1120,0.963958,0.000357,0.965101495,849
0.02,6,15,0.7,0.9,1500,134,1412,0.964034,0.000276,0.965207935,954
0.02,6,15,0.7,1,1500,135,1146,0.964128,0.000236,0.965115067,978
0.02,6,15,0.8,0.6,1500,136,1258,0.964215,0.000332,0.965356327,713
0.02,6,15,0.8,0.7,1500,137,1214,0.964156,0.000293,0.965256205,774
0.02,6,15,0.8,0.8,1500,138,1270,0.964148,0.000224,0.965347879,874
0.02,6,15,0.8,0.9,1500,139,1270,0.964123,0.000172,0.965413694,934
0.02,6,15,0.8,1,1500,140,1215,0.964197,0.00027,0.965338884,988
0.02,6,15,0.9,0.6,1500,141,1353,0.96434,0.000377,0.965487055,719
0.02,6,15,0.9,0.7,1500,142,1382,0.96426,0.000217,0.965343626,808
0.02,6,15,0.9,0.8,1500,143,1253,0.964301,0.000323,0.965388885,817
0.02,6,15,0.9,0.9,1500,144,1498,0.964171,0.000285,0.965487538,952
0.02,6,15,0.9,1,1500,145,1199,0.964263,0.000306,0.965370115,982
0.02,6,15,1,0.6,1500,146,1499,0.964274,0.000386,0.965338238,716
0.02,6,15,1,0.7,1500,147,1494,0.964076,0.000333,0.965367104,772
0.02,6,15,1,0.8,1500,148,1463,0.963964,0.000258,0.965384417,812
0.02,6,15,1,0.9,1500,149,1322,0.963963,0.000286,0.965209602,840
0.02,6,15,1,1,1500,150,1387,0.96397,0.000224,0.965226208,922
0.02,7,5,0.6,0.6,1250,151,927,0.964052,0.00029,0.965030553,582
0.02,7,5,0.6,0.7,1250,152,1040,0.963963,0.000427,0.965078655,663
0.02,7,5,0.6,0.8,1250,153,939,0.963989,0.000315,0.96511191,714
0.02,7,5,0.6,0.9,1250,154,874,0.963962,0.000441,0.965019796,767
0.02,7,5,0.6,1,1250,155,932,0.964104,0.000255,0.96518934,843
0.02,7,5,0.7,0.6,1250,156,1027,0.964187,0.000354,0.96518661,594
0.02,7,5,0.7,0.7,1250,157,950,0.964127,0.000446,0.965128358,649
0.02,7,5,0.7,0.8,1250,158,992,0.964205,0.000315,0.965195636,720
0.02,7,5,0.7,0.9,1250,159,1080,0.964202,0.000284,0.965257421,802
0.02,7,5,0.7,1,1250,160,955,0.964176,0.000331,0.965160865,843
0.02,7,5,0.8,0.6,1250,161,929,0.964272,0.000444,0.965312956,579
0.02,7,5,0.8,0.7,1250,162,953,0.964217,0.000368,0.965216418,644
0.02,7,5,0.8,0.8,1250,163,957,0.964203,0.000366,0.96521983,710
0.02,7,5,0.8,0.9,1250,164,965,0.964248,0.000322,0.965400901,774
0.02,7,5,0.8,1,1250,165,1016,0.964289,0.000324,0.965386329,847
0.02,7,5,0.9,0.6,1250,166,1077,0.964377,0.000267,0.965389857,595
0.02,7,5,0.9,0.7,1250,167,1195,0.964256,0.000351,0.965453248,677
0.02,7,5,0.9,0.8,1250,168,1135,0.964394,0.000449,0.96544538,734
0.02,7,5,0.9,0.9,1250,169,1012,0.964328,0.000374,0.965329031,778
0.02,7,5,0.9,1,1250,170,1135,0.964321,0.000264,0.965354865,865
0.02,7,5,1,0.6,1250,171,929,0.964211,0.000271,0.965191572,566
0.02,7,5,1,0.7,1250,172,1047,0.964096,0.000191,0.965266642,639
0.02,7,5,1,0.8,1250,173,1017,0.963992,0.000178,0.965173933,700
0.02,7,5,1,0.9,1250,174,890,0.963917,0.000242,0.965110373,740
0.02,7,5,1,1,1250,175,964,0.96386,0.000103,0.965176242,809
0.02,7,10,0.6,0.6,1250,176,982,0.9641,0.000233,0.965167596,623
0.02,7,10,0.6,0.7,1250,177,997,0.963981,0.000441,0.965120658,690
0.02,7,10,0.6,0.8,1250,178,951,0.964025,0.000245,0.965017502,748
0.02,7,10,0.6,0.9,1250,179,983,0.963974,0.000249,0.965095252,823
0.02,7,10,0.6,1,1250,180,871,0.964107,0.000244,0.965093861,863
0.02,7,10,0.7,0.6,1250,181,951,0.964201,0.000435,0.965212514,626
0.02,7,10,0.7,0.7,1250,182,1008,0.964108,0.000368,0.965185989,689
0.02,7,10,0.7,0.8,1250,183,1045,0.96417,0.000428,0.965192104,766
0.02,7,10,0.7,0.9,1250,184,1023,0.964068,0.000319,0.965173736,825
0.02,7,10,0.7,1,1250,185,904,0.964175,0.000285,0.965255579,870
0.02,7,10,0.8,0.6,1250,186,987,0.964313,0.000422,0.965430076,617
0.02,7,10,0.8,0.7,1250,187,919,0.964287,0.000384,0.965271435,671
0.02,7,10,0.8,0.8,1250,188,1027,0.964255,0.000353,0.965333074,759
0.02,7,10,0.8,0.9,1250,189,967,0.964221,0.000287,0.965326235,818
0.02,7,10,0.8,1,1250,190,959,0.964214,0.000239,0.965365688,875
0.02,7,10,0.9,0.6,1250,191,1144,0.964425,0.000373,0.965495479,640
0.02,7,10,0.9,0.7,1250,192,1135,0.964278,0.000372,0.965502521,712
0.02,7,10,0.9,0.8,1250,193,1136,0.964344,0.000373,0.965433338,772
0.02,7,10,0.9,0.9,1250,194,1035,0.96433,0.000368,0.965382074,826
0.02,7,10,0.9,1,1250,195,1022,0.964279,0.00028,0.965341366,883
0.02,7,10,1,0.6,1250,196,1016,0.964261,0.000279,0.965330134,625
0.02,7,10,1,0.7,1250,197,964,0.964202,0.000355,0.96523676,671
0.02,7,10,1,0.8,1250,198,967,0.96403,0.000323,0.965220828,716
0.02,7,10,1,0.9,1250,199,1107,0.964039,0.000321,0.965221987,820
0.02,7,10,1,1,1250,200,1031,0.96396,0.000248,0.965126496,878
0.02,7,15,0.6,0.6,1250,201,931,0.963927,0.000263,0.965027122,665
0.02,7,15,0.6,0.7,1250,202,929,0.963771,0.000237,0.964940051,709
0.02,7,15,0.6,0.8,1250,203,953,0.963792,0.00027,0.964945464,776
0.02,7,15,0.6,0.9,1250,204,950,0.963843,0.000186,0.964885386,849
0.02,7,15,0.6,1,1250,205,935,0.963874,0.000117,0.965032197,930
0.02,7,15,0.7,0.6,1250,206,951,0.964114,0.00038,0.965193127,661
0.02,7,15,0.7,0.7,1250,207,1023,0.964039,0.000249,0.965116559,726
0.02,7,15,0.7,0.8,1250,208,847,0.964018,0.000315,0.964938413,782
0.02,7,15,0.7,0.9,1250,209,865,0.96397,0.000177,0.965138635,845
0.02,7,15,0.7,1,1250,210,932,0.964097,0.000196,0.965094678,916
0.02,7,15,0.8,0.6,1250,211,1068,0.964173,0.000454,0.965419284,681
0.02,7,15,0.8,0.7,1250,212,1139,0.964087,0.000384,0.965278775,760
0.02,7,15,0.8,0.8,1250,213,1068,0.964126,0.000255,0.965238442,811
0.02,7,15,0.8,0.9,1250,214,1024,0.964125,0.000256,0.96529666,864
0.02,7,15,0.8,1,1250,215,981,0.964105,0.000198,0.965320539,924
0.02,7,15,0.9,0.6,1250,216,1135,0.96431,0.000456,0.965438347,667
0.02,7,15,0.9,0.7,1250,217,1156,0.964275,0.000444,0.965434958,769
0.02,7,15,0.9,0.8,1250,218,1139,0.964187,0.000384,0.965395907,804
0.02,7,15,0.9,0.9,1250,219,928,0.96424,0.000365,0.965263403,850
0.02,7,15,0.9,1,1250,220,1144,0.96423,0.000253,0.965373085,951
0.02,7,15,1,0.6,1250,221,992,0.964262,0.000262,0.965326521,650
0.02,7,15,1,0.7,1250,222,1022,0.964182,0.000331,0.965342906,689
0.02,7,15,1,0.8,1250,223,995,0.964128,0.000247,0.965216994,774
0.02,7,15,1,0.9,1250,224,1161,0.963923,0.00028,0.965302495,882
0.02,7,15,1,1,1250,225,1108,0.963884,0.000395,0.965276846,923
0.02,8,5,0.6,0.6,1100,226,727,0.963923,0.000305,0.96498874,557
0.02,8,5,0.6,0.7,1100,227,906,0.963968,0.000451,0.965036169,652
0.02,8,5,0.6,0.8,1100,228,811,0.964035,0.000264,0.965036402,704
0.02,8,5,0.6,0.9,1100,229,811,0.963977,0.000497,0.965109607,768
0.02,8,5,0.6,1,1100,230,811,0.963975,0.000403,0.965146673,834
0.02,8,5,0.7,0.6,1100,231,893,0.964171,0.000364,0.965144462,587
0.02,8,5,0.7,0.7,1100,232,834,0.964141,0.000336,0.965143449,644
0.02,8,5,0.7,0.8,1100,233,798,0.964064,0.000471,0.96515481,699
0.02,8,5,0.7,0.9,1100,234,795,0.964147,0.000403,0.965196218,762
0.02,8,5,0.7,1,1100,235,699,0.964214,0.000373,0.965188688,805
0.02,8,5,0.8,0.6,1100,236,903,0.964208,0.000252,0.965365287,583
0.02,8,5,0.8,0.7,1100,237,915,0.96416,0.00029,0.965311264,654
0.02,8,5,0.8,0.8,1100,238,841,0.964215,0.000378,0.965362579,706
0.02,8,5,0.8,0.9,1100,239,715,0.964171,0.00037,0.965253184,739
0.02,8,5,0.8,1,1100,240,820,0.964193,0.000367,0.965366158,826
0.02,8,5,0.9,0.6,1100,241,1037,0.964361,0.000424,0.965503976,601
0.02,8,5,0.9,0.7,1100,242,838,0.964239,0.000401,0.965374576,636
0.02,8,5,0.9,0.8,1100,243,834,0.964264,0.000531,0.96532383,701
0.02,8,5,0.9,0.9,1100,244,834,0.964226,0.000345,0.965338318,761
0.02,8,5,0.9,1,1100,245,833,0.964222,0.000401,0.965360412,824
0.02,8,5,1,0.6,1100,246,808,0.964247,0.00032,0.96529973,561
0.02,8,5,1,0.7,1100,247,867,0.964125,0.000205,0.965354105,629
0.02,8,5,1,0.8,1100,248,862,0.963934,0.000287,0.965180249,692
0.02,8,5,1,0.9,1100,249,802,0.96386,0.000294,0.965041814,739
0.02,8,5,1,1,1100,250,905,0.963834,0.000234,0.965105402,819
0.02,8,10,0.6,0.6,1100,251,797,0.963974,0.000283,0.965125558,600
0.02,8,10,0.6,0.7,1100,252,824,0.963948,0.000541,0.964983579,671
0.02,8,10,0.6,0.8,1100,253,785,0.963967,0.000357,0.964973541,727
0.02,8,10,0.6,0.9,1100,254,816,0.963901,0.000399,0.965015049,804
0.02,8,10,0.6,1,1100,255,825,0.963939,0.000366,0.965145483,866
0.02,8,10,0.7,0.6,1100,256,838,0.96413,0.000325,0.965304977,605
0.02,8,10,0.7,0.7,1100,257,812,0.96419,0.000331,0.965239835,678
0.02,8,10,0.7,0.8,1100,258,816,0.964134,0.000393,0.965169045,744
0.02,8,10,0.7,0.9,1100,259,882,0.9641,0.000304,0.965349794,822
0.02,8,10,0.7,1,1100,260,811,0.964156,0.000329,0.965271887,871
0.02,8,10,0.8,0.6,1100,261,822,0.964253,0.000276,0.96543002,609
0.02,8,10,0.8,0.7,1100,262,846,0.964231,0.000437,0.965377043,683
0.02,8,10,0.8,0.8,1100,263,883,0.964229,0.000321,0.965381351,752
0.02,8,10,0.8,0.9,1100,264,836,0.964211,0.000334,0.965295652,814
0.02,8,10,0.8,1,1100,265,882,0.964231,0.00026,0.965389956,884
0.02,8,10,0.9,0.6,1100,266,924,0.964372,0.000484,0.965409342,626
0.02,8,10,0.9,0.7,1100,267,844,0.964332,0.000485,0.965367245,677
0.02,8,10,0.9,0.8,1100,268,838,0.964336,0.000592,0.965396205,736
0.02,8,10,0.9,0.9,1100,269,841,0.964306,0.000403,0.965347707,805
0.02,8,10,0.9,1,1100,270,853,0.964265,0.000339,0.965346385,875
0.02,8,10,1,0.6,1100,271,829,0.964288,0.000266,0.965306917,593
0.02,8,10,1,0.7,1100,272,834,0.964305,0.000387,0.965229521,676
0.02,8,10,1,0.8,1100,273,1043,0.964108,0.000266,0.965287021,773
0.02,8,10,1,0.9,1100,274,863,0.963965,0.000295,0.965302035,781
0.02,8,10,1,1,1100,275,934,0.963902,0.000241,0.965140505,874
0.02,8,15,0.6,0.6,1100,276,906,0.963909,2.00E-04,0.965014099,673
0.02,8,15,0.6,0.7,1100,277,939,0.963863,0.000253,0.965043191,739
0.02,8,15,0.6,0.8,1100,278,887,0.963815,0.000139,0.965030989,778
0.02,8,15,0.6,0.9,1100,279,971,0.963825,0.00019,0.964998884,870
0.02,8,15,0.6,1,1100,280,882,0.963834,0.000219,0.965058631,922
0.02,8,15,0.7,0.6,1100,281,954,0.964141,0.000306,0.965212896,664
0.02,8,15,0.7,0.7,1100,282,838,0.964014,0.000251,0.965127168,722
0.02,8,15,0.7,0.8,1100,283,797,0.964027,0.000339,0.965113707,770
0.02,8,15,0.7,0.9,1100,284,846,0.964127,0.000281,0.965184227,847
0.02,8,15,0.7,1,1100,285,814,0.964128,0.000177,0.965174355,917
0.02,8,15,0.8,0.6,1100,286,951,0.964235,0.000312,0.965426441,670
0.02,8,15,0.8,0.7,1100,287,905,0.964133,0.000356,0.965392427,714
0.02,8,15,0.8,0.8,1100,288,844,0.9641,0.000246,0.965302907,786
0.02,8,15,0.8,0.9,1100,289,870,0.964118,0.000231,0.965395858,851
0.02,8,15,0.8,1,1100,290,844,0.964117,0.000341,0.965403644,913
0.02,8,15,0.9,0.6,1100,291,833,0.964307,0.000448,0.965431829,658
0.02,8,15,0.9,0.7,1100,292,965,0.964246,0.00039,0.965387984,731
0.02,8,15,0.9,0.8,1100,293,921,0.964277,0.000504,0.965318844,802
0.02,8,15,0.9,0.9,1100,294,879,0.964259,0.000361,0.965354075,860
0.02,8,15,0.9,1,1100,295,887,0.964107,0.000282,0.965297671,907
0.02,8,15,1,0.6,1100,296,820,0.9643,0.000207,0.965303531,624
0.02,8,15,1,0.7,1100,297,929,0.964142,0.000322,0.965384303,720
0.02,8,15,1,0.8,1100,298,929,0.964025,0.000367,0.965223664,772
0.02,8,15,1,0.9,1100,299,878,0.963874,0.000325,0.965227212,834
0.02,8,15,1,1,1100,300,754,0.963886,0.000282,0.965040963,874
