SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs
GeographicField33B,233,0.58787,0.003294,17,0.587286445,12
GeographicField34A,234,0.602637,0.000653,21,0.602395147,12
GeographicField34B,235,0.602419,0.001205,16,0.6010089,13
GeographicField35A,236,0.608794,0.004428,14,0.607557408,12
GeographicField35B,237,0.608945,0.004714,14,0.60814027,12
GeographicField36A,238,0.614278,0.002221,26,0.614787401,12
GeographicField36B,239,0.614579,0.001477,52,0.615486609,13
GeographicField37A,240,0.591673,0.003236,36,0.592931505,12
GeographicField37B,241,0.591296,0.003729,44,0.591827156,13
GeographicField38A,242,0.628322,0.003226,26,0.62829378,12
GeographicField38B,243,0.62841,0.003682,56,0.628609216,13
GeographicField39A,244,0.608624,0.003709,16,0.611017228,12
GeographicField39B,245,0.608549,0.003615,6,0.611015256,12
GeographicField40A,246,0.645542,0.000685,14,0.640470538,12
GeographicField40B,247,0.649342,0.00029,72,0.649381728,13
GeographicField41A,248,0.665282,0.002883,56,0.666179656,12
GeographicField41B,249,0.666621,0.003611,64,0.668171849,13
GeographicField42A,250,0.605672,0.000373,54,0.604607719,13
GeographicField42B,251,0.605555,0.001098,20,0.604494058,12
GeographicField43A,252,0.617772,0.001747,62,0.618211992,12
GeographicField43B,253,0.617976,0.002703,76,0.617958753,13
GeographicField44A,254,0.634664,0.004196,86,0.633733258,13
GeographicField44B,255,0.637087,0.00405,72,0.634598209,13
GeographicField45A,256,0.608957,0.002712,39,0.610492372,12
GeographicField45B,257,0.619479,0.001868,42,0.617737096,13
GeographicField46A,258,0.625164,0.001554,58,0.629608784,12
GeographicField46B,259,0.625542,0.001542,27,0.62950857,12
GeographicField47A,260,0.648605,0.002294,22,0.650078248,12
GeographicField47B,261,0.65145,0.00375,54,0.652989196,13
GeographicField48A,262,0.60008,0.004584,41,0.599531811,13
GeographicField48B,263,0.599676,0.005317,48,0.599828344,13
GeographicField49A,264,0.597266,0.001543,7,0.597919997,12
GeographicField49B,265,0.597282,0.002124,76,0.597955375,13
GeographicField50A,266,0.587363,0.005307,6,0.587890962,12
GeographicField50B,267,0.587048,0.004426,18,0.589124143,12
GeographicField51A,268,0.596184,0.001368,16,0.596379551,12
GeographicField51B,269,0.597372,0.001226,6,0.595654914,12
GeographicField52A,270,0.595756,0.001512,20,0.595356102,12
GeographicField52B,271,0.594109,0.001974,21,0.595468533,12
GeographicField53A,272,0.587204,0.001386,78,0.588279653,12
GeographicField53B,273,0.587439,0.001012,11,0.590342512,12
GeographicField54A,274,0.59205,0.002639,58,0.590383202,13
GeographicField54B,275,0.593281,0.003248,6,0.590885542,12
GeographicField55A,276,0.588383,0.000178,10,0.59020207,12
GeographicField55B,277,0.58978,0.000931,25,0.590030805,12
GeographicField56A,278,0.574076,0.002946,2,0.574698461,9
GeographicField56B,279,0.593622,0.002269,20,0.592272385,12
GeographicField57A,280,0.579582,0.002217,29,0.580797411,12
GeographicField57B,281,0.580296,0.002286,65,0.581546219,13
GeographicField58A,282,0.573296,0.003815,2,0.575285273,12
GeographicField58B,283,0.572385,0.002721,71,0.578502815,13
GeographicField59A,284,0.602746,0.005637,40,0.60325327,12
GeographicField59B,285,0.602681,0.005703,22,0.603883498,12
GeographicField60A,286,0.575267,0.003751,5,0.575773975,10
GeographicField60B,287,0.579432,0.00733,102,0.579324281,13
GeographicField61A,288,0.57498,0.002392,5,0.575559167,10
GeographicField61B,289,0.591249,0.000941,11,0.59131966,12
GeographicField62A,290,0.574299,0.003082,7,0.574746502,10
GeographicField62B,291,0.580858,0.001431,16,0.582797942,12
GeographicField63,292,0.576414,0.003007,5,0.576620574,10
GeographicField64,293,0.683783,0.002111,7,0.675745151,11
year,294,0.587632,0.005018,8,0.586792142,10
month,295,0.580374,0.004992,29,0.581845028,12
day,296,0.574631,0.002591,2,0.577681985,13
