SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs,Avg_AUC,Max_Diff,MissingValues,UniqueCount
PersonalField61,96,0.942206,2.90E-05,126,0.942306881,23,0.942256,0.005439,0,7
PropertyField7,127,0.942245,0.000226,112,0.94226782,24,0.942256,0.005439,0,19
GeographicField52A,266,0.942281,1.00E-04,112,0.942216392,25,0.942249,0.005446,1248,25
GeographicField48A,258,0.942101,0.000232,115,0.942391589,25,0.942246,0.005449,1248,25
GeographicField40B,243,0.942156,6.60E-05,132,0.942333602,25,0.942245,0.005450,2,25
GeographicField2A,167,0.942,0.00024,116,0.942475058,25,0.942238,0.005458,1260,25
GeographicField9A,181,0.942049,0.000206,92,0.94242117,23,0.942235,0.005460,2,25
GeographicField49B,261,0.942082,0.000139,113,0.942381282,25,0.942232,0.005464,1248,25
GeographicField20B,203,0.942085,3.70E-05,132,0.942376261,26,0.942231,0.005465,2,25
GeographicField52B,267,0.94214,6.00E-05,116,0.942316258,25,0.942228,0.005467,1248,25
GeographicField51A,264,0.942232,5.70E-05,114,0.942223625,25,0.942228,0.005467,1248,25
GeographicField43A,248,0.942229,9.00E-05,118,0.942213715,24,0.942221,0.005474,2,25
PersonalField14,51,0.942231,1.00E-04,131,0.94219617,24,0.942214,0.005482,0,30
GeographicField19A,200,0.942099,0.00018,115,0.942324221,25,0.942212,0.005484,2,25
GeographicField40A,242,0.94209,0.000156,116,0.942332623,24,0.942211,0.005484,2,25
PropertyField19,141,0.942189,0.000165,140,0.942233273,23,0.942211,0.005484,0,10
GeographicField51B,265,0.94214,0.000114,112,0.942282251,25,0.942211,0.005484,1248,25
PersonalField60,95,0.942145,2.50E-05,127,0.942274587,23,0.942210,0.005485,0,7
PropertyField33,158,0.942062,0.000126,117,0.942350301,24,0.942206,0.005489,0,4
Field10,4,0.942187,8.70E-05,109,0.942208728,23,0.942198,0.005497,0,8
PersonalField42,77,0.942118,4.30E-05,147,0.942264696,23,0.942191,0.005504,0,10
PropertyField11A,131,0.942166,7.60E-05,141,0.942213613,24,0.942190,0.005505,254268,1
GeographicField2B,168,0.942015,0.000268,112,0.942352657,25,0.942184,0.005511,1260,25
GeographicField43B,249,0.94215,0.000195,112,0.942215485,25,0.942183,0.005512,2,25
PersonalField43,78,0.942131,1.50E-05,126,0.942229669,23,0.942180,0.005515,0,7
Field8,2,0.942141,7.90E-05,99,0.942219491,24,0.942180,0.005515,0,38
