"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs","Avg_AUC","Max_Diff","MissingValues","UniqueCount"
"PropertyField16A",136,0.947989,0.000152,75,0.948110593475311,25,0.948049796737656,0.00321932192894991,21,25
"GeographicField45A",251,0.94808,0.000297,81,0.94801530074505,25,0.948047650372525,0.00322146829408032,19,25
"GeographicField6A",174,0.948127,0.000182,78,0.947960328122171,24,0.948043664061086,0.00322545460551993,2,25
"GeographicField47B",256,0.948094,2e-04,104,0.947978887795194,25,0.948036443897597,0.00323267476900857,65,24
"PropertyField31",155,0.947931,0.00027,94,0.948119155637201,25,0.9480250778186,0.00324404084800523,0,4
"GeographicField14B",190,0.948156,0.000144,85,0.947892164745778,25,0.948024082372889,0.00324503629371664,2,19
"GeographicField7A",176,0.948136,0.000204,78,0.947911691472099,25,0.94802384573605,0.00324527293055599,2,24
"GeographicField19A",199,0.948071,0.000299,75,0.947961848879033,25,0.948016424439517,0.00325269422708907,2,25
"GeographicField19B",200,0.948067,0.000369,75,0.947959610929534,25,0.948013305464767,0.00325581320183876,2,25
"PropertyField16B",137,0.948011,0.00013,75,0.948012617056471,25,0.948011808528236,0.00325731013837005,21,25
"PropertyField32",156,0.948101,0.000328,83,0.947918456410933,24,0.948009728205466,0.0032593904611391,0,3
"GeographicField23B",208,0.948066,0.000244,94,0.947948827205611,25,0.948007413602805,0.00326170506380008,2,25
"PersonalField61",95,0.948018,0.000133,107,0.947989279569484,24,0.948003639784742,0.00326547888186335,0,7
"GeographicField17B",196,0.948062,0.000361,92,0.947939898350067,25,0.948000949175033,0.00326816949157238,2,25
"PersonalField63",97,0.947993,0.000208,89,0.947972422843388,24,0.947982711421694,0.00328640724491136,0,7
"GeographicField50A",261,0.947944,0.000203,75,0.948013084581242,25,0.947978542290621,0.00329057637598473,1248,25
"PropertyField24A",146,0.948007,0.00017,89,0.947947920303953,25,0.947977460151977,0.00329165851462898,48,25
"GeographicField15A",191,0.948107,0.000187,112,0.947835488404797,25,0.947971244202398,0.00329787446420715,2,25
"PropertyField24B",147,0.948023,0.000158,78,0.947892854561707,25,0.947957927280854,0.00331119138575198,48,25
"GeographicField41A",243,0.948026,0.000142,77,0.947856957913432,25,0.947941478956716,0.00332763970988936,24,25
"GeographicField50B",262,0.947862,0.000264,72,0.947994210847249,25,0.947928105423625,0.00334101324298097,1248,25
"PropertyField3",123,0.947979,0.000141,94,0.947867398850121,24,0.947923199425061,0.00334591924154481,0,3
"PropertyField1B",120,0.947983,0.000159,85,0.947854897141362,25,0.947918948570681,0.00335017009592464,27,25
"GeographicField48B",258,0.947809,0.000404,79,0.948011142184515,25,0.947910071092257,0.00335904757434824,1248,25
"GeographicField20B",202,0.947936,0.000238,90,0.9478750311679,25,0.94790551558395,0.00336360308265538,2,25
"GeographicField20A",201,0.948028,8.2e-05,94,0.947774850538462,25,0.947901425269231,0.00336769339737475,2,25
"PropertyField1A",119,0.94801,5.3e-05,78,0.947775156116508,25,0.947892578058254,0.0033765406083518,27,25
"PropertyField27",151,0.94795,0.000205,79,0.947830924013481,24,0.94789046200674,0.00337865665986514,0,17
"GeographicField44B",250,0.948028,0.000262,77,0.947751430150176,25,0.947889715075088,0.00337940359151778,2,25
"PersonalField42",76,0.947933,0.000244,102,0.947845296592497,24,0.947889148296249,0.00337997037035687,0,10
"PropertyField25",148,0.947942,0.000245,107,0.947836098404126,26,0.947889049202063,0.0033800694645425,0,11
"GeographicField53A",267,0.947831,0.000225,89,0.947939903941084,25,0.947885451970542,0.00338366669606338,1248,25
"CoverageField3B",12,0.947858,0.000191,81,0.94790587160808,25,0.94788193580404,0.00338718286256556,0,25
"GeographicField40B",242,0.947986,0.000262,79,0.94777690186364,25,0.94788145093182,0.00338766773478549,2,25
"GeographicField2A",166,0.94778,0.000406,79,0.947978105245486,25,0.947879052622743,0.00339006604386283,1260,25
"GeographicField22B",206,0.948011,0.000206,94,0.947744716494471,25,0.947877858247236,0.00339126041936977,2,11
"PropertyField4",124,0.947931,0.000169,87,0.947821984747075,24,0.947876492373538,0.00339262629306791,0,3
"CoverageField11B",22,0.94788,0.000141,83,0.947864469156755,25,0.947872234578378,0.00339688408822791,765,25
"PropertyField18",139,0.947946,0.00012,79,0.947788959954051,25,0.947867479977025,0.00340163868958032,0,10
"PersonalField4B",40,0.947998,0.000132,87,0.947736420002328,25,0.947867210001164,0.00340190866544177,24526,25
"PersonalField41",75,0.947889,0.000172,100,0.947844737105123,24,0.947866868552561,0.00340225011404427,0,10
"Field8",2,0.947965,0.000136,78,0.94776692266791,26,0.947865961333955,0.00340315733265051,0,38
